N        s_up        s_down        error
1        2.92897        2.92897        -inf
2        5.18738        5.18738        -15.7664
3        7.48547        7.48547        -15.4486
4        9.78761        9.78761        -14.4189
5        12.0901        12.0901        -14.2201
6        14.3927        14.3927        -13.2642
7        16.6953        16.6953        -12.7924
8        18.9979        18.9979        -13.3285
9        21.3005        21.3005        -12.9479
10        23.6031        23.6031        -11.3346
