N        s_up        s_down        error
1        2.92897        2.92897        -inf
2        5.18738        5.18738        -6.73555
3        7.48548        7.48547        -6.04972
4        9.78761        9.7876        -6.05703
5        12.0909        12.0902        -4.23852
6        14.3574        14.3927        -2.61045
7        15.4037        16.686        -1.11435
8        15.4037        18.8079        -0.742321
9        15.4037        18.8079        -0.742321
10        15.4037        18.8079        -0.742321
