    log10(x)      series      direct       error
         -10 1.66667e-31           0           0
          -9 1.66667e-28           0           0
          -8 1.66667e-25           0           0
          -7 1.66667e-22 1.72054e-22    -1.49051
          -6 1.66667e-19 1.66654e-19    -4.11011
          -5 1.66667e-16 1.66667e-16     -5.4307
          -4 1.66667e-13 1.66667e-13    -7.51427
          -3 1.66667e-10 1.66667e-10    -10.4682
          -2 1.66666e-07 1.66666e-07    -11.5919
          -1 0.000166583 0.000166583    -13.7355
           0    0.158529    0.158529        -inf
